"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Empty document returns empty list","0","test_chk_04","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunking","test_chunking","",""
"Each chunk has non-empty text, header, and correct source","0","test_chk_02","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunking","test_chunking","",""
"Log records contain logger name 'app.rag'","13","test_obs_05","tests.observability","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestLogging","test_logging","",""
"Retriever logs 'retriever_search' with latency_ms","11","test_obs_01","tests.observability","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestLogging","test_logging","",""
"top_k=2 returns exactly 2 results","12","test_ret_04","tests.integration","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestDocsRetrieval","test_docs_retrieval","",""
"POST /query with wrong field name returns 422","3","test_api_05","tests.integration","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestQueryEndpoint","test_query_endpoint","",""
"First header is 'Introduction', rest extracted from ## lines","1","test_chk_03","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunking","test_chunking","",""
"3 headers ## → 4 chunks (intro + 3 sections)","0","test_chk_01","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunking","test_chunking","",""
"RetrievalResult accepts boundary values 0.0 and 1.0","0","test_sch_06","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestRetrievalResult","test_retrieval_result","",""
"Names in ToolKit match names in TOOLS_DESCRIPTION","0","test_tls_03","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestToolsFormat","test_tools_format","",""
"QueryRoute rejects confidence < 0.0","0","test_sch_11","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestQueryRoute","test_query_route","",""
"QueryRoute rejects confidence > 1.0","0","test_sch_10","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestQueryRoute","test_query_route","",""
"Response contains all AgentResponse fields with correct values","3","test_api_03","tests.integration","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestQueryEndpoint","test_query_endpoint","",""
"POST /query with valid question returns 200","4","test_api_02","tests.integration","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestQueryEndpoint","test_query_endpoint","",""
"TOOLS_DESCRIPTION has one entry per tool","0","test_tls_02","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestToolsFormat","test_tools_format","",""
"POST /query without body returns 422 validation error","2","test_api_04","tests.integration","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestQueryEndpoint","test_query_endpoint","",""
"Document without ## returns one chunk with 'Introduction' header","0","test_chk_05","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunking","test_chunking","",""
"Every tool in ToolKit is callable","0","test_tls_05","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestToolsFormat","test_tools_format","",""
"'FastAPI vs Flask' query finds comparison in faq","15","test_ret_03","tests.integration","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestFaqRetrieval","test_faq_retrieval","",""
"RAGResponse accepts optional QueryRoute","0","test_sch_13","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestRAGResponse","test_rag_response","",""
"QueryRoute accepts valid intent, confidence, reasoning","0","test_sch_07","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestQueryRoute","test_query_route","",""
"embed_text returns plain Python list, not numpy array","11","test_emb_01","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestEmbeddings","test_embeddings","",""
"RetrievalResult rejects score < 0.0","0","test_sch_05","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestRetrievalResult","test_retrieval_result","",""
"'422 error' query finds validation content in troubleshooting","13","test_ret_02","tests.integration","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestTroubleshootingRetrieval","test_troubleshooting_retrieval","",""
"Each description follows OpenAI function calling schema","0","test_tls_04","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestToolsFormat","test_tools_format","",""
"'CORS middleware' query finds CORSMiddleware in docs","11","test_ret_01","tests.integration","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestDocsRetrieval","test_docs_retrieval","",""
"Retriever logs 'retriever_found' with count and score","13","test_obs_02","tests.observability","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestLogging","test_logging","",""
"QueryRoute rejects invalid intent 'pizza'","0","test_sch_09","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestQueryRoute","test_query_route","",""
"Off-topic query gets score < 0.5 for all results","16","test_ret_05","tests.integration","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestDocsRetrieval","test_docs_retrieval","",""
"RAGResponse rejects negative chunks_used","0","test_sch_14","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestRAGResponse","test_rag_response","",""
"embed_texts batch: 2 texts → 2 vectors of 384 each","11","test_emb_03","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestEmbeddings","test_embeddings","",""
"RetrievalResult accepts score 0.85 in valid range","0","test_sch_03","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestRetrievalResult","test_retrieval_result","",""
"all-MiniLM-L6-v2 produces 384-dimensional vectors","10","test_emb_02","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestEmbeddings","test_embeddings","",""
"RetrievalResult rejects score > 1.0","0","test_sch_04","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestRetrievalResult","test_retrieval_result","",""
"ChunkPayload rejects missing source and header","0","test_sch_02","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunkPayload","test_chunk_payload","",""
"All log records have INFO level (no ERROR on success)","13","test_obs_04","tests.observability","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestLogging","test_logging","",""
